trial,time,depot_id,drone_ids,lat,lon,num_drones
26,75,1,dn1;dn3,37.774524,-122.473656,2
26,75,2,dn5;dn6,37.751751,-122.410654,2
26,75,3,dn7,37.718779,-122.462401,1
26,75,4,dn12,37.78929,-122.426797,1
26,75,5,dn15,37.739611,-122.492203,1
26,76,1,dn3,37.774524,-122.473656,1
26,76,2,dn5;dn6,37.751751,-122.410654,2
26,76,3,dn7,37.718779,-122.462401,1
26,76,4,dn12,37.78929,-122.426797,1
26,76,5,dn15,37.739611,-122.492203,1
26,77,1,dn3,37.774524,-122.473656,1
26,77,2,dn5;dn6,37.751751,-122.410654,2
26,77,3,dn7,37.718779,-122.462401,1
26,77,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,77,5,dn15,37.739611,-122.492203,1
26,78,1,dn3,37.774524,-122.473656,1
26,78,2,dn4;dn5;dn6,37.751751,-122.410654,3
26,78,3,dn7;dn8,37.718779,-122.462401,2
26,78,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,78,5,dn15,37.739611,-122.492203,1
26,79,1,dn2;dn3,37.774524,-122.473656,2
26,79,2,dn4;dn5;dn6,37.751751,-122.410654,3
26,79,3,dn7;dn8,37.718779,-122.462401,2
26,79,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,79,5,dn15,37.739611,-122.492203,1
26,80,1,dn2;dn3,37.774524,-122.473656,2
26,80,2,dn4;dn5;dn6,37.751751,-122.410654,3
26,80,3,dn7;dn8,37.718779,-122.462401,2
26,80,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,80,5,dn15,37.739611,-122.492203,1
26,81,1,dn3,37.774524,-122.473656,1
26,81,2,dn4;dn5;dn6,37.751751,-122.410654,3
26,81,3,dn7;dn8;dn9,37.718779,-122.462401,3
26,81,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,81,5,dn15,37.739611,-122.492203,1
26,82,1,dn3,37.774524,-122.473656,1
26,82,2,dn5;dn6,37.751751,-122.410654,2
26,82,3,dn7;dn8;dn9,37.718779,-122.462401,3
26,82,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,82,5,dn15,37.739611,-122.492203,1
26,83,2,dn5;dn6,37.751751,-122.410654,2
26,83,3,dn7;dn8;dn9,37.718779,-122.462401,3
26,83,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,83,5,dn15,37.739611,-122.492203,1
26,84,2,dn5;dn6,37.751751,-122.410654,2
26,84,3,dn7;dn8;dn9,37.718779,-122.462401,3
26,84,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,84,5,dn15,37.739611,-122.492203,1
26,85,2,dn6,37.751751,-122.410654,1
26,85,3,dn7;dn8;dn9,37.718779,-122.462401,3
26,85,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,85,5,dn15,37.739611,-122.492203,1
26,86,1,dn1,37.774524,-122.473656,1
26,86,2,dn6,37.751751,-122.410654,1
26,86,3,dn7;dn8;dn9,37.718779,-122.462401,3
26,86,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,86,5,dn14;dn15,37.739611,-122.492203,2
26,87,1,dn1,37.774524,-122.473656,1
26,87,3,dn7;dn8;dn9,37.718779,-122.462401,3
26,87,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,87,5,dn14;dn15,37.739611,-122.492203,2
26,88,3,dn7;dn8;dn9,37.718779,-122.462401,3
26,88,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,88,5,dn14;dn15,37.739611,-122.492203,2
26,89,3,dn7;dn8;dn9,37.718779,-122.462401,3
26,89,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,89,5,dn14;dn15,37.739611,-122.492203,2
26,90,1,dn2,37.774524,-122.473656,1
26,90,3,dn7;dn8;dn9,37.718779,-122.462401,3
26,90,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,90,5,dn13;dn14;dn15,37.739611,-122.492203,3
26,91,1,dn2,37.774524,-122.473656,1
26,91,3,dn7;dn8;dn9,37.718779,-122.462401,3
26,91,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,91,5,dn13;dn14;dn15,37.739611,-122.492203,3
26,92,1,dn2,37.774524,-122.473656,1
26,92,3,dn7;dn8;dn9,37.718779,-122.462401,3
26,92,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,92,5,dn13;dn14;dn15,37.739611,-122.492203,3
26,93,1,dn2,37.774524,-122.473656,1
26,93,2,dn4,37.751751,-122.410654,1
26,93,3,dn8;dn9,37.718779,-122.462401,2
26,93,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,93,5,dn13;dn14;dn15,37.739611,-122.492203,3
26,94,1,dn2,37.774524,-122.473656,1
26,94,2,dn4,37.751751,-122.410654,1
26,94,3,dn8;dn9,37.718779,-122.462401,2
26,94,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,94,5,dn13;dn14;dn15,37.739611,-122.492203,3
26,95,1,dn2,37.774524,-122.473656,1
26,95,2,dn4,37.751751,-122.410654,1
26,95,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,95,5,dn13;dn14;dn15,37.739611,-122.492203,3
26,96,1,dn3,37.774524,-122.473656,1
26,96,2,dn4,37.751751,-122.410654,1
26,96,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,96,5,dn13;dn14;dn15,37.739611,-122.492203,3
26,97,1,dn3,37.774524,-122.473656,1
26,97,2,dn4,37.751751,-122.410654,1
26,97,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,97,5,dn13;dn14;dn15,37.739611,-122.492203,3
26,98,1,dn3,37.774524,-122.473656,1
26,98,2,dn4;dn6,37.751751,-122.410654,2
26,98,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,98,5,dn13;dn14;dn15,37.739611,-122.492203,3
26,99,1,dn3,37.774524,-122.473656,1
26,99,2,dn6,37.751751,-122.410654,1
26,99,4,dn10;dn11;dn12,37.78929,-122.426797,3
26,99,5,dn13;dn14;dn15,37.739611,-122.492203,3
27,0,1,dn1;dn2;dn3,37.774524,-122.473656,3
27,0,2,dn4;dn5;dn6,37.751751,-122.410654,3
27,0,3,dn7;dn8;dn9,37.718779,-122.462401,3
27,0,4,dn10;dn11;dn12,37.78929,-122.426797,3
27,0,5,dn13;dn14;dn15,37.739611,-122.492203,3
27,1,1,dn1;dn2;dn3,37.774524,-122.473656,3
27,1,2,dn4;dn5;dn6,37.751751,-122.410654,3
27,1,3,dn7;dn8;dn9,37.718779,-122.462401,3
27,1,4,dn10;dn11;dn12,37.78929,-122.426797,3
27,1,5,dn13;dn14;dn15,37.739611,-122.492203,3
27,2,1,dn1;dn2;dn3,37.774524,-122.473656,3
27,2,2,dn4;dn5;dn6,37.751751,-122.410654,3
27,2,3,dn7;dn8;dn9,37.718779,-122.462401,3
27,2,4,dn10;dn11;dn12,37.78929,-122.426797,3
27,2,5,dn13;dn14;dn15,37.739611,-122.492203,3
27,3,1,dn1;dn2;dn3,37.774524,-122.473656,3
27,3,2,dn4;dn5;dn6,37.751751,-122.410654,3
27,3,3,dn7;dn8;dn9,37.718779,-122.462401,3
27,3,4,dn10;dn11;dn12,37.78929,-122.426797,3
27,3,5,dn13;dn14;dn15,37.739611,-122.492203,3
27,4,1,dn1;dn2;dn3,37.774524,-122.473656,3
27,4,2,dn4;dn5;dn6,37.751751,-122.410654,3
27,4,3,dn7;dn8;dn9,37.718779,-122.462401,3
27,4,4,dn10;dn11;dn12,37.78929,-122.426797,3
27,4,5,dn13;dn14;dn15,37.739611,-122.492203,3
27,5,1,dn1;dn2;dn3,37.774524,-122.473656,3
27,5,2,dn4;dn5;dn6,37.751751,-122.410654,3
27,5,3,dn7;dn8;dn9,37.718779,-122.462401,3
27,5,4,dn10;dn11;dn12,37.78929,-122.426797,3
27,5,5,dn13;dn14;dn15,37.739611,-122.492203,3
27,6,1,dn1;dn2;dn3,37.774524,-122.473656,3
27,6,2,dn4;dn5;dn6,37.751751,-122.410654,3
27,6,3,dn7;dn8;dn9,37.718779,-122.462401,3
27,6,4,dn10;dn11;dn12,37.78929,-122.426797,3
27,6,5,dn13;dn14;dn15,37.739611,-122.492203,3
27,7,1,dn1;dn2;dn3,37.774524,-122.473656,3
27,7,2,dn4;dn5;dn6,37.751751,-122.410654,3
27,7,3,dn7;dn8;dn9,37.718779,-122.462401,3
27,7,4,dn10;dn11;dn12,37.78929,-122.426797,3
